Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/7/13,Lamar,Nicholls St,63,90,Nicholls St,-27,Loss,Away,-17.29,-5.66
3/7/13,Norfolk St,NC A&T,55,48,Norfolk St,7,Win,Home,1.26,-0.87
3/7/13,NC A&T,Norfolk St,48,55,Norfolk St,-7,Loss,Away,-0.87,1.26
3/7/13,Penn St,Northwestern,66,59,Northwestern,7,Win,Away,-6.27,-2.58
3/7/13,Northwestern,Penn St,59,66,Northwestern,-7,Loss,Home,-2.58,-6.27
3/7/13,Northwestern LA,TAM C. Christi,66,51,Northwestern LA,15,Win,Home,5.76,-8.11
3/7/13,TAM C. Christi,Northwestern LA,51,66,Northwestern LA,-15,Loss,Away,-8.11,5.76
3/7/13,Pacific,UC Irvine,70,62,Pacific,8,Win,Home,1.55,0.83
3/7/13,UC Irvine,Pacific,62,70,Pacific,-8,Loss,Away,0.83,1.55
3/7/13,S Carolina St,Delaware St,62,60,S Carolina St,2,Win,Home,-13.22,-6.18
3/7/13,Delaware St,S Carolina St,60,62,S Carolina St,-2,Loss,Away,-6.18,-13.22
3/7/13,Santa Barbara,CS Fullerton,66,50,Santa Barbara,16,Win,Home,-4.68,0.38
3/7/13,CS Fullerton,Santa Barbara,50,66,Santa Barbara,-16,Loss,Away,0.38,-4.68
3/7/13,Savannah St,MD E Shore,71,54,Savannah St,17,Win,Home,-1.14,-14.48
3/7/13,MD E Shore,Savannah St,54,71,Savannah St,-17,Loss,Away,-14.48,-1.14
3/7/13,SE Louisiana,McNeese St,79,68,SE Louisiana,11,Win,Home,-7.74,-6.73
3/7/13,McNeese St,SE Louisiana,68,79,SE Louisiana,-11,Loss,Away,-6.73,-7.74
3/7/13,SF Austin,Sam Houston St,57,42,SF Austin,15,Win,Home,11.88,-1.64
3/7/13,Sam Houston St,SF Austin,42,57,SF Austin,-15,Loss,Away,-1.64,11.88
3/7/13,Long Beach St,UC Davis,77,76,UC Davis,1,Win,Away,-1.86,-0.20
3/7/13,UC Davis,Long Beach St,76,77,UC Davis,-1,Loss,Home,-0.20,-1.86
3/7/13,Utah,Oregon St,72,61,Utah,11,Win,Home,-1.93,2.00
